	Date	Code	CompanyName	CompanyNameEnglish	Sector17Code	Sector17CodeName	Sector33Code	Sector33CodeName	ScaleCategory	MarketCode	MarketCodeName
4008	2023-07-14	93630	大運	DAIUN CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4009	2023-07-14	93640	上組	Kamigumi Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Mid400	0111	プライム
4010	2023-07-14	93650	トレーディア	TRADIA CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4011	2023-07-14	93660	サンリツ	SANRITSU CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
4012	2023-07-14	93670	大東港運	DAITO KOUN CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4013	2023-07-14	93680	キムラユニティー	KIMURA UNITY CO.,LTD.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
4014	2023-07-14	93690	キユーソー流通システム	K.R.S.Corporation	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
4015	2023-07-14	93760	ユーラシア旅行社	EURASIA TRAVEL Co.,Ltd.	10	情報通信・サービスその他	9050	サービス業	-	0112	スタンダード
4016	2023-07-14	93770	エージーピー	AGP CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	-	0112	スタンダード
4017	2023-07-14	93800	東海運	Azuma Shipping Co.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0112	スタンダード
4018	2023-07-14	93810	エーアイテイー	AIT CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
4019	2023-07-14	93840	内外トランスライン	NAIGAI TRANS LINE LTD.	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
4020	2023-07-14	93850	ショーエイコーポレーション	SHOEI CORPORATION	4	素材・化学	3200	化学	TOPIX Small 2	0111	プライム
4021	2023-07-14	93860	日本コンセプト	NIPPON CONCEPT CORPORATION	12	運輸・物流	5200	倉庫･運輸関連業	TOPIX Small 2	0111	プライム
4022	2023-07-14	93880	パパネッツ	PAPANETS CO.,Ltd.	12	運輸・物流	5200	倉庫･運輸関連業	-	0105	TOKYO PRO MARKET
4023	2023-07-14	93990	ビート・ホールディングス・リミテッド（貝徳控股有限公司）	Beat Holdings Limited	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4024	2023-07-14	94010	ＴＢＳホールディングス	TBS HOLDINGS,INC.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Mid400	0111	プライム
4025	2023-07-14	94040	日本テレビホールディングス	Nippon Television Holdings,Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Mid400	0111	プライム
4026	2023-07-14	94050	朝日放送グループホールディングス	ASAHI BROADCASTING GROUP HOLDINGS CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4027	2023-07-14	94080	ＢＳＮメディアホールディングス	BSN MEDIA HOLDINGS,INC.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4028	2023-07-14	94090	テレビ朝日ホールディングス	TV Asahi Holdings Corporation	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4029	2023-07-14	94120	スカパーＪＳＡＴホールディングス	SKY Perfect JSAT Holdings Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4030	2023-07-14	94130	テレビ東京ホールディングス	TV TOKYO Holdings Corporation	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4031	2023-07-14	94140	日本ＢＳ放送	Nippon BS Broadcasting Corporation	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4032	2023-07-14	94160	ビジョン	VISION INC.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4033	2023-07-14	94170	スマートバリュー	Smartvalue Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4034	2023-07-14	94180	ＵＳＥＮ−ＮＥＸＴ　ＨＯＬＤＩＮＧＳ	USEN-NEXT HOLDINGS Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4035	2023-07-14	94190	ワイヤレスゲート	WirelessGate,Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4036	2023-07-14	94210	エヌジェイホールディングス	NJ Holdings Inc.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4037	2023-07-14	94230	フォーバル・リアルストレート	Forval RealStraight Inc.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4038	2023-07-14	94240	日本通信	Japan Communications Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4039	2023-07-14	94250	日本テレホン	NIPPON TELEPHONE INC.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4040	2023-07-14	94280	クロップス	CROPS CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4041	2023-07-14	94320	日本電信電話	NIPPON TELEGRAPH AND TELEPHONE CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Core30	0111	プライム
4042	2023-07-14	94330	ＫＤＤＩ	KDDI CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Core30	0111	プライム
4043	2023-07-14	94340	ソフトバンク	SoftBank Corp.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Core30	0111	プライム
4044	2023-07-14	94350	光通信	HIKARI TSUSHIN,INC.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Mid400	0111	プライム
4045	2023-07-14	94360	沖縄セルラー電話	OKINAWA CELLULAR TELEPHONE COMPANY	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4046	2023-07-14	94380	エムティーアイ	MTI Ltd.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4047	2023-07-14	94390	エム・エイチ・グループ	M・H・GROUP LTD.	10	情報通信・サービスその他	9050	サービス業	-	0112	スタンダード
4048	2023-07-14	94410	ベルパーク	Bell-Park Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4049	2023-07-14	94440	トーシンホールディングス	TOSHIN HOLDINGS CO.,LTD	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4050	2023-07-14	94450	フォーバルテレコム	FORVAL TELECOM,INC.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4051	2023-07-14	94460	サカイホールディングス	SAKAI Holdings CO.,LTD	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4052	2023-07-14	94490	ＧＭＯインターネットグループ	GMO internet group,Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Mid400	0111	プライム
4053	2023-07-14	94500	ファイバーゲート	Fibergate Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4054	2023-07-14	94650	Ｋｉｐｓ	Kips Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	-	0105	TOKYO PRO MARKET
4055	2023-07-14	94660	アイドママーケティングコミュニケーション	Aidma Marketing Communication Corporation	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4056	2023-07-14	94670	アルファポリス	AlphaPolis Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	-	0113	グロース
4057	2023-07-14	94680	ＫＡＤＯＫＡＷＡ	KADOKAWA CORPORATION	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Mid400	0111	プライム
4058	2023-07-14	94700	学研ホールディングス	GAKKEN HOLDINGS CO.,LTD.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 1	0111	プライム
4059	2023-07-14	94740	ゼンリン	ZENRIN CO.,LTD.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0111	プライム
4060	2023-07-14	94750	昭文社ホールディングス	Shobunsha Holdings,Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4061	2023-07-14	94760	中央経済社ホールディングス	CHUOKEIZAI-SHA HOLDINGS,INC.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4062	2023-07-14	94780	ＳＥホールディングス・アンド・インキュベーションズ	SE Holdings and Incubations Co.,Ltd.	10	情報通信・サービスその他	5250	情報･通信業	-	0112	スタンダード
4063	2023-07-14	94790	インプレスホールディングス	Impress Holdings, Inc.	10	情報通信・サービスその他	5250	情報･通信業	TOPIX Small 2	0112	スタンダード
4064	2023-07-14	95010	東京電力ホールディングス	Tokyo Electric Power Company Holdings,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4065	2023-07-14	95020	中部電力	Chubu Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4066	2023-07-14	95030	関西電力	The Kansai Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4067	2023-07-14	95040	中国電力	The Chugoku Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4068	2023-07-14	95050	北陸電力	Hokuriku Electric Power Company	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4069	2023-07-14	95060	東北電力	Tohoku Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4070	2023-07-14	95070	四国電力	Shikoku Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4071	2023-07-14	95080	九州電力	Kyushu Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4072	2023-07-14	95090	北海道電力	Hokkaido Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4073	2023-07-14	95110	沖縄電力	The Okinawa Electric Power Company,Incorporated	11	電気・ガス	4050	電気･ガス業	TOPIX Small 1	0111	プライム
4074	2023-07-14	95130	電源開発	Electric Power Development Co.,Ltd.	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4075	2023-07-14	95140	エフオン	EF-ON INC.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 2	0111	プライム
4076	2023-07-14	95170	イーレックス	eREX Co.,Ltd.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 1	0111	プライム
4077	2023-07-14	95190	レノバ	RENOVA,Inc.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 1	0111	プライム
4078	2023-07-14	95220	リニューアブル・ジャパン	Renewable Japan Co.,Ltd.	11	電気・ガス	4050	電気･ガス業	-	0113	グロース
4079	2023-07-14	95310	東京瓦斯	TOKYO GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4080	2023-07-14	95320	大阪瓦斯	OSAKA GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4081	2023-07-14	95330	東邦瓦斯	TOHO GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Mid400	0111	プライム
4082	2023-07-14	95340	北海道瓦斯	HOKKAIDO GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 2	0111	プライム
4083	2023-07-14	95350	広島ガス	HIROSHIMA GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 2	0111	プライム
4084	2023-07-14	95360	西部ガスホールディングス	SAIBU GAS HOLDINGS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 2	0111	プライム
4085	2023-07-14	95370	北陸瓦斯	HOKURIKU GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	-	0112	スタンダード
4086	2023-07-14	95390	京葉瓦斯	KEIYO GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	-	0112	スタンダード
4087	2023-07-14	95430	静岡ガス	SHIZUOKA GAS CO.,LTD.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 1	0111	プライム
4088	2023-07-14	95510	メタウォーター	METAWATER Co.,Ltd.	11	電気・ガス	4050	電気･ガス業	TOPIX Small 1	0111	プライム
4089	2023-07-14	95520	Ｍ＆Ａ総研ホールディングス	M&A Research Institute Holdings Inc.	10	情報通信・サービスその他	9050	サービス業	-	0113	グロース
